路線,票種,去返程,上車日期,上車時間,上車分鐘,上車站名,下車日期,下車時間,下車分鐘,下車站名,星期,乘坐分鐘
308,一般票,返程,2022/9/28,08:52,532,麗軒國際飯店,2022/9/28,09:04,544,東大門夜市,1,12
308,一般票,返程,2022/9/28,18:29,1109,七星潭,2022/9/28,19:22,1162,花蓮火車站,1,53
308,一般票,去程,2022/10/2,16:54,1014,花蓮火車站,2022/10/2,17:22,1042,中美路民權八街口,0,28
308,一般票,返程,2022/10/2,18:52,1132,煙波大飯店,2022/10/2,19:17,1157,花蓮火車站,0,25
308,一般票,返程,2022/10/2,18:52,1132,煙波大飯店,2022/10/2,19:17,1157,花蓮火車站,0,25
308,一般票,去程,2022/10/3,07:27,447,花蓮火車站,2022/10/3,07:45,465,花蓮女中,1,18
308,一般票,去程,2022/10/3,17:00,1020,花蓮火車站,2022/10/3,17:15,1035,東大門夜市,1,15
308,一般票,去程,2022/10/5,07:26,446,花蓮火車站,2022/10/5,07:44,464,花蓮女中,1,18
308,一般票,去程,2022/10/6,07:27,447,花蓮火車站,2022/10/6,07:45,465,花蓮女中,1,18
308,一般票,去程,2022/10/7,07:26,446,花蓮火車站,2022/10/7,07:50,470,花蓮女中,1,24
308,一般票,去程,2022/10/10,07:35,455,商校街,2022/10/10,07:48,468,北濱公園,1,13
308,一般票,返程,2022/10/10,09:07,547,北濱街,2022/10/10,09:18,558,花蓮商校,1,11
308,一般票,去程,2022/10/11,07:25,445,花蓮火車站,2022/10/11,07:49,469,花蓮女中,1,24
308,一般票,去程,2022/10/11,07:26,446,花蓮火車站,2022/10/11,07:56,476,煙波大飯店,1,30
308,一般票,去程,2022/10/12,07:25,445,花蓮火車站,2022/10/12,07:46,466,花蓮女中,1,21
308,一般票,去程,2022/10/13,07:27,447,花蓮火車站,2022/10/13,07:48,468,花蓮女中,1,21
308,一般票,去程,2022/10/14,07:22,442,花蓮火車站,2022/10/14,07:47,467,花蓮女中,1,25
308,一般票,去程,2022/10/17,17:03,1023,花蓮電影城,2022/10/17,17:35,1055,福容大飯店,1,32
308,一般票,去程,2022/10/18,07:23,443,花蓮火車站,2022/10/18,07:48,468,花蓮女中,1,25
308,一般票,去程,2022/10/19,07:25,445,花蓮火車站,2022/10/19,07:46,466,花蓮女中,1,21
308,一般票,去程,2022/10/20,07:25,445,花蓮火車站,2022/10/20,07:48,468,花蓮女中,1,23
308,一般票,去程,2022/10/21,07:27,447,花蓮火車站,2022/10/21,07:49,469,花蓮女中,1,22
308,一般票,返程,2022/10/22,18:50,1130,翰品酒店,2022/10/22,19:01,1141,東大門夜市,0,11
308,一般票,返程,2022/10/22,18:50,1130,翰品酒店,2022/10/22,19:01,1141,東大門夜市,0,11
308,一般票,去程,2022/10/24,07:25,445,花蓮火車站,2022/10/24,07:47,467,花蓮女中,1,22
308,一般票,去程,2022/10/25,07:22,442,花蓮火車站,2022/10/25,07:46,466,花蓮女中,1,24
308,一般票,去程,2022/10/25,17:07,1027,花蓮商校,2022/10/25,17:17,1037,東大門夜市,1,10
308,一般票,去程,2022/10/27,07:27,447,花蓮火車站,2022/10/27,07:47,467,花蓮女中,1,20
308,一般票,去程,2022/10/28,07:28,448,花蓮火車站,2022/10/28,07:49,469,花蓮女中,1,21
308,一般票,去程,2022/10/31,07:27,447,花蓮火車站,2022/10/31,07:37,457,花蓮商校,1,10
308,一般票,去程,2022/10/31,07:27,447,花蓮火車站,2022/10/31,07:53,473,花蓮女中,1,26
308,一般票,去程,2022/11/1,07:24,444,花蓮火車站,2022/11/1,07:50,470,花蓮女中,1,26
308,一般票,去程,2022/11/2,07:26,446,花蓮火車站,2022/11/2,07:46,466,花蓮女中,1,20
308,一般票,返程,2022/11/2,18:32,1112,花蓮曼波園區(海岸路),2022/11/2,19:14,1154,台灣企銀,1,42
308,一般票,去程,2022/11/3,07:26,446,花蓮火車站,2022/11/3,07:57,477,麗軒國際飯店,1,31
308,一般票,返程,2022/11/3,08:23,503,七星潭,2022/11/3,09:14,554,花蓮火車站,1,51
308,一般票,返程,2022/11/3,08:23,503,七星潭,2022/11/3,09:14,554,花蓮火車站,1,51
308,一般票,返程,2022/11/4,08:50,530,麗軒國際飯店,2022/11/4,09:02,542,東大門夜市,1,12
308,一般票,返程,2022/11/5,19:05,1145,北濱街,2022/11/5,19:19,1159,花蓮電影城,0,14
308,一般票,返程,2022/11/5,09:04,544,大同市場,2022/11/5,09:13,553,花蓮火車站,0,9
308,一般票,去程,2022/11/8,07:23,443,花蓮火車站,2022/11/8,07:48,468,花蓮女中,1,25
308,一般票,返程,2022/11/9,19:07,1147,東大門夜市,2022/11/9,19:22,1162,花蓮火車站,1,15
308,一般票,去程,2022/11/10,16:57,1017,花蓮火車站,2022/11/10,17:11,1031,大同市場,1,14
308,一般票,去程,2022/11/12,16:59,1019,花蓮火車站,2022/11/12,17:14,1034,台灣企銀,0,15
308,一般票,去程,2022/11/12,17:10,1030,花蓮商校,2022/11/12,17:52,1072,七星潭,0,42
308,一般票,返程,2022/11/12,18:23,1103,七星潭,2022/11/12,19:03,1143,東大門夜市,0,40
308,一般票,去程,2022/11/14,07:24,444,花蓮火車站,2022/11/14,07:49,469,花蓮女中,1,25
308,一般票,返程,2022/11/14,08:52,532,麗軒國際飯店,2022/11/14,09:06,546,東大門夜市,1,14
308,一般票,去程,2022/11/15,07:26,446,花蓮火車站,2022/11/15,07:47,467,花蓮女中,1,21
308,一般票,去程,2022/11/15,16:51,1011,花蓮火車站,2022/11/15,17:19,1039,東大門夜市,1,28
308,一般票,去程,2022/11/16,07:26,446,花蓮火車站,2022/11/16,07:48,468,花蓮女中,1,22
308,一般票,去程,2022/11/16,16:54,1014,花蓮火車站,2022/11/16,17:34,1054,家扶中心,1,40
308,一般票,去程,2022/11/17,17:07,1027,花蓮商校,2022/11/17,17:31,1051,麗軒國際飯店,1,24
308,一般票,去程,2022/11/19,16:51,1011,花蓮火車站,2022/11/19,17:15,1035,東大門夜市,0,24
308,一般票,去程,2022/11/23,07:23,443,花蓮火車站,2022/11/23,07:37,457,花蓮商校,1,14
308,一般票,去程,2022/11/26,07:28,448,花蓮火車站,2022/11/26,08:15,495,七星潭,0,47
308,一般票,返程,2022/11/28,18:51,1131,家扶中心,2022/11/28,19:24,1164,花蓮火車站,1,33
308,一般票,去程,2022/11/29,16:53,1013,花蓮火車站,2022/11/29,17:18,1038,北濱公園,1,25
308,一般票,返程,2022/12/1,18:32,1112,花蓮曼波園區(海岸路),2022/12/1,19:01,1141,東大門夜市,1,29
308,一般票,返程,2022/12/3,18:20,1100,七星潭,2022/12/3,19:16,1156,花蓮火車站,0,56
308,一般票,返程,2022/12/5,08:50,530,麗軒國際飯店,2022/12/5,09:02,542,東大門夜市,1,12
308,一般票,返程,2022/12/6,08:54,534,麗軒國際飯店,2022/12/6,09:23,563,花蓮火車站,1,29
308,一般票,返程,2022/12/8,18:32,1112,花蓮曼波園區(海岸路),2022/12/8,19:04,1144,東大門夜市,1,32
308,一般票,去程,2022/12/9,07:24,444,花蓮火車站,2022/12/9,07:59,479,麗軒國際飯店,1,35
308,一般票,返程,2022/12/9,19:06,1146,東大門夜市,2022/12/9,19:18,1158,花蓮火車站,1,12
308,一般票,返程,2022/12/15,18:47,1127,美崙浸信會,2022/12/15,19:18,1158,花蓮火車站,1,31
308,一般票,去程,2022/12/16,16:54,1014,花蓮火車站,2022/12/16,17:28,1048,煙波大飯店,1,34
308,一般票,返程,2022/12/16,19:04,1144,東大門夜市,2022/12/16,19:16,1156,花蓮火車站,1,12
308,一般票,去程,2022/12/16,07:29,449,花蓮火車站,2022/12/16,07:37,457,花蓮商校,1,8
308,一般票,返程,2022/12/20,18:24,1104,七星潭,2022/12/20,18:59,1139,東大門夜市,1,35
308,一般票,返程,2022/12/20,18:47,1127,家扶中心,2022/12/20,19:12,1152,花蓮火車站,1,25
308,一般票,返程,2022/12/22,18:21,1101,七星潭,2022/12/22,19:05,1145,北濱公園,1,44
308,一般票,返程,2022/12/22,18:21,1101,七星潭,2022/12/22,19:05,1145,北濱公園,1,44
308,一般票,返程,2022/12/25,08:50,530,翰品酒店,2022/12/25,09:16,556,花蓮火車站,0,26
308,一般票,返程,2022/12/25,08:55,535,煙波大飯店,2022/12/25,09:16,556,花蓮火車站,0,21
308,一般票,去程,2022/12/26,17:01,1021,花蓮火車站,2022/12/26,17:14,1034,台灣企銀,1,13
308,一般票,返程,2022/12/27,09:04,544,台灣企銀,2022/12/27,09:11,551,花蓮火車站,1,7
308,一般票,去程,2022/12/27,16:55,1015,花蓮火車站,2022/12/27,17:50,1070,花蓮曼波園區(海岸路),1,55
308,一般票,去程,2022/12/28,16:59,1019,花蓮火車站,2022/12/28,17:17,1037,東大門夜市,1,18
308,一般票,去程,2022/12/30,07:24,444,花蓮火車站,2022/12/30,07:45,465,花蓮女中,1,21
308,一般票,去程,2022/12/30,16:54,1014,花蓮火車站,2022/12/30,17:15,1035,台灣企銀,1,21
308,一般票,去程,2022/12/31,16:57,1017,花蓮火車站,2022/12/31,17:49,1069,市老人會,0,52
308,一般票,去程,2022/12/31,16:59,1019,花蓮火車站,2022/12/31,17:35,1055,北濱公園,0,36
308,一般票,返程,2022/12/31,18:53,1133,翰品酒店,2022/12/31,19:07,1147,北濱街,0,14
308,一般票,去程,2023/1/1,16:53,1013,花蓮火車站,2023/1/1,17:34,1054,中美路民權八街口,0,41
308,一般票,去程,2023/1/1,16:53,1013,花蓮火車站,2023/1/1,17:27,1047,北濱公園,0,34
308,一般票,去程,2023/1/3,07:27,447,花蓮火車站,2023/1/3,07:46,466,北濱公園,1,19
308,一般票,去程,2023/1/6,07:24,444,花蓮火車站,2023/1/6,07:47,467,花蓮女中,1,23
308,一般票,去程,2023/1/9,07:24,444,花蓮火車站,2023/1/9,07:47,467,花蓮女中,1,23
308,一般票,去程,2023/1/10,16:55,1015,花蓮火車站,2023/1/10,17:58,1078,七星潭,1,63
308,一般票,返程,2023/1/11,08:55,535,麗軒國際飯店,2023/1/11,09:08,548,東大門夜市,1,13
308,一般票,返程,2023/1/14,09:01,541,台灣企銀,2023/1/14,09:11,551,花蓮火車站,0,10
308,一般票,去程,2023/1/15,17:09,1029,郵政總局,2023/1/15,17:33,1053,福容大飯店,0,24
308,一般票,返程,2023/1/22,19:20,1160,台灣企銀,2023/1/22,19:32,1172,花蓮火車站,0,12
308,一般票,返程,2023/1/23,08:47,527,美崙浸信會,2023/1/23,09:18,558,花蓮火車站,1,31
308,一般票,去程,2023/1/23,17:09,1029,花蓮商校,2023/1/23,17:22,1042,東大門夜市,1,13
308,一般票,去程,2023/1/23,17:09,1029,花蓮商校,2023/1/23,17:16,1036,台灣企銀,1,7
308,一般票,去程,2023/1/23,17:14,1034,大同市場,2023/1/23,17:38,1058,亞士都飯店,1,24
308,一般票,去程,2023/1/24,07:52,472,亞士都飯店,2023/1/24,08:18,498,七星潭,1,26
308,一般票,返程,2023/1/24,08:29,509,七星潭,2023/1/24,09:17,557,花蓮火車站,1,48
308,一般票,去程,2023/1/24,16:59,1019,花蓮火車站,2023/1/24,17:23,1043,台灣企銀,1,24
308,一般票,去程,2023/1/24,16:59,1019,花蓮火車站,2023/1/24,17:18,1038,大同市場,1,19
308,一般票,返程,2023/1/26,18:21,1101,七星潭,2023/1/26,18:22,1102,七星潭,1,1
308,一般票,返程,2023/1/26,18:22,1102,七星潭,2023/1/26,19:05,1145,北濱街,1,43
308,一般票,返程,2023/1/26,18:23,1103,七星潭,2023/1/26,19:05,1145,北濱街,1,42
308,一般票,去程,2023/2/1,07:58,478,煙波大飯店,2023/2/1,08:24,504,七星潭,1,26
308,一般票,去程,2023/2/1,16:52,1012,花蓮火車站,2023/2/1,17:12,1032,台灣企銀,1,20
308,一般票,去程,2023/2/1,17:05,1025,商校街,2023/2/1,17:26,1046,煙波大飯店,1,21
308,一般票,返程,2023/2/1,18:20,1100,七星潭,2023/2/1,18:52,1132,翰品酒店,1,32
308,一般票,返程,2023/2/1,18:57,1137,煙波大飯店,2023/2/1,19:14,1154,郵政總局,1,17
308,一般票,去程,2023/2/8,16:55,1015,花蓮火車站,2023/2/8,17:08,1028,郵政總局,1,13
308,一般票,去程,2023/2/9,17:04,1024,花蓮電影城,2023/2/9,17:16,1036,東大門夜市,1,12
308,一般票,去程,2023/2/9,17:04,1024,花蓮電影城,2023/2/9,17:16,1036,東大門夜市,1,12
308,一般票,返程,2023/2/10,08:43,523,美侖大飯店,2023/2/10,09:14,554,花蓮商校,1,31
308,一般票,返程,2023/2/10,08:53,533,翰品酒店,2023/2/10,09:19,559,花蓮火車站,1,26
308,一般票,去程,2023/2/10,16:52,1012,花蓮火車站,2023/2/10,17:25,1045,煙波大飯店,1,33
