縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,,
高雄市,Ⅲ-21,旗南橋,406,750,120.4868907,22.87478435,台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.2,南,3.7,3.6,,,,2,,2.3,6495,42,119,1,68,1355,8080,7893,54136,995,16,17,0.54 ,,,,
屏東縣,Ⅲ-22,里港大橋南,418,600,120.5001786,22.78019198,台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,北,3.5,3.5,,,,2,,1.0,4177,24,193,0,855,1544,6793,8149,47551,868,7,8,0.52 ,,,,
屏東縣,Ⅲ-22,里港大橋南,418,600,120.5001786,22.78019198,台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,南,3.5,3.5,,,,2,,1.0,3945,15,174,0,930,1391,6455,7993,45185,797,17,18,0.52 ,,,,
屏東縣,Ⅲ-23,九如鄉公所,423,200,120.4900911,22.74144252,台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,北,3.5,3.5,,,,2.2,,2.0,9266,140,372,3,212,2708,12701,12575,95258,1201,7,8,0.52 ,,,,
屏東縣,Ⅲ-23,九如鄉公所,423,200,120.4900911,22.74144252,台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,南,3.5,3.5,,,,2.2,,2.0,9605,109,433,9,193,2427,12776,12724,95820,1319,17,18,0.52 ,,,,
屏東縣,Ⅲ-24,西市場,433,600,120.4781616,22.67361499,台3線,九如,屏東市,427,419,434,962,平原區,7.5,20,北,3.6,5,,,,,,0.6,8932,44,115,0,3,11613,20707,16148,155302,1553,17,18,0.52 ,,,,
屏東縣,Ⅲ-24,西市場,433,600,120.4781616,22.67361499,台3線,九如,屏東市,427,419,434,962,平原區,7.5,20,南,3.6,4,,,,,,0.2,8078,28,98,0,4,10213,18421,14407,138158,1416,17,18,0.52 ,,,,
屏東縣,Ⅲ-25,大武營區,434,800,120.4748300,22.66522579,台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,北,3.5,3.5,,,,,,0.8,9724,60,171,1,9,7841,17806,14806,32051,1369,17,18,0.52 ,,,,
屏東縣,Ⅲ-25,大武營區,434,800,120.4748300,22.66522579,台3線,屏東市,頭前溪,434,962,436,809,平原區,1.8,15.8,南,3.5,3.5,,,,,,0.8,9193,47,175,0,6,6078,15499,13192,27898,1505,7,8,0.52 ,,,,
臺東縣,Ⅲ-26,關山鎮,316,400,121.1672870,23.05635264,台9線,花東縣界,武陵,304,246,329,246,丘陵區,25,12.4,北,3.6,,,,,2.1,,0.6,3828,101,157,0,96,828,5010,5496,125250,429,17,18,0.55 ,,,,
