縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
高雄市,Ⅲ-19,火燒庄,393,600,"E120'28'2.0""","N22'58'9.6""",台3線,南高縣市界,內門,389,787,396,459,丘陵區,6.7,15.6,南,3.5,3.5,,,,0,,0.7,"1,598",24,70,1,95,495,"2,283","2,563","15,296",317,15,16,0.52,0,0,
高雄市,Ⅲ-20,嶺頂,405,900,"E120'29'7.9""","N22'53'12.0""",台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,北,3.5,3.5,,,,0,,2,"8,267",173,224,0,117,"3,284","12,065","11,616","118,237","1,085",16,17,0.51,0,0,
高雄市,Ⅲ-20,嶺頂,405,900,"E120'29'7.9""","N22'53'12.0""",台3線,內門,旗山,396,459,406,228,丘陵區,9.8,18.2,南,3.5,3.5,,,,0,,2,"7,845",139,263,1,197,"3,087","11,532","11,491","113,014","1,014",10,11,0.51,0,0,
高雄市,Ⅲ-21,旗楠橋,409,400,"E120'30'9.5""","N22'51'48.8""",台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.3,北,3.5,3.5,,,,2.1,,2.1,"3,076",18,125,0,170,"1,154","4,543","4,609","30,438",432,7,8,0.52,0,0,
高雄市,Ⅲ-21,旗楠橋,409,400,"E120'30'9.5""","N22'51'48.8""",台3線,旗山,高屏市縣界,406,228,412,926,平原區,6.7,25.3,南,3.5,3.5,,,,2.1,,2.1,"2,812",14,127,0,91,"1,189","4,233","4,129","28,361",425,11,12,0.52,0,0,
屏東縣,Ⅲ-22,里港大橋南,419,100,"E120'30'0.9""","N22'46'49.1""",台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,北,3.5,3.5,,,,2,,1,"4,754",27,329,0,901,"1,825","7,836","9,270","54,852","1,073",7,8,0.5,0,0,
屏東縣,Ⅲ-22,里港大橋南,419,100,"E120'30'0.9""","N22'46'49.1""",台3線,高屏市縣界,里港,412,926,419,937,平原區,7,23.2,南,3.5,3.5,,,,2,,1,"4,742",23,298,1,"1,124","1,548","7,736","9,683","54,152",944,17,18,0.5,0,0,
屏東縣,Ⅲ-23,九如鄉公所,423,800,"E120'29'24.3""","N22'44'30.3""",台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,北,3.5,3.5,,,,2.2,,2,"11,130",136,627,6,266,"2,493","14,658","14,836","109,935","1,479",7,8,0.52,0,0,
屏東縣,Ⅲ-23,九如鄉公所,423,800,"E120'29'24.3""","N22'44'30.3""",台3線,里港,九如,419,937,427,419,平原區,7.5,24.8,南,3.5,3.5,,,,2.2,,2,"12,185",209,509,5,304,"2,433","15,645","15,893","117,338","1,801",17,18,0.52,0,0,
屏東縣,Ⅲ-24,西市場,434,100,"E120'28'41.3""","N22'40'25.2""",台3線,九如,屏東市,427,419,434,962,平原區,7.5,21.8,北,3.5,5.2,,,,0,,1.2,"7,777",27,153,0,14,"9,536","17,507","13,812","131,302","1,248",17,18,0.52,0,0,
